,id,calling_class,calling_method,called_class,called_method,called_method_args
184,65893078139207,org.apache.commons.cli.Options,helpOptions,java.util.List,contains,<SP>Option:Option@510d09e2<EP>
185,65893078146847,org.apache.commons.cli.Option,equals,java.lang.Object,getClass,<SP><EP>
186,65893078162486,org.apache.commons.cli.Option,equals,java.lang.Object,getClass,<SP><EP>
187,65893078177535,org.apache.commons.cli.Option,equals,java.lang.String,equals,<SP>String:a<EP>
188,65893078192094,org.apache.commons.cli.Option,equals,java.lang.Object,getClass,<SP><EP>
189,65893078203095,org.apache.commons.cli.Option,equals,java.lang.Object,getClass,<SP><EP>
190,65893078215806,org.apache.commons.cli.Option,equals,java.lang.String,equals,<SP>String:b<EP>
191,65893078249412,org.apache.commons.cli.Options,helpOptions,java.util.Iterator,hasNext,<SP><EP>
192,65893078273916,org.apache.commons.cli.Parser,parse,java.util.List,iterator,<SP><EP>
193,65893078292830,org.apache.commons.cli.Parser,parse,java.util.Iterator,hasNext,<SP><EP>
194,65893078304004,org.apache.commons.cli.Parser,parse,java.util.Iterator,next,<SP><EP>
195,65893078314681,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Option,clearValues,<SP><EP>
196,65893078322539,org.apache.commons.cli.Option,clearValues,java.util.ArrayList,clear,<SP><EP>
197,65893078337112,org.apache.commons.cli.Parser,parse,java.util.Iterator,hasNext,<SP><EP>
198,65893078347126,org.apache.commons.cli.Parser,parse,java.util.Iterator,next,<SP><EP>
199,65893078358208,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Option,clearValues,<SP><EP>
200,65893078364938,org.apache.commons.cli.Option,clearValues,java.util.ArrayList,clear,<SP><EP>
201,65893078378735,org.apache.commons.cli.Parser,parse,java.util.Iterator,hasNext,<SP><EP>
202,65893078387525,org.apache.commons.cli.Parser,parse,java.util.Iterator,next,<SP><EP>
203,65893078393968,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Option,clearValues,<SP><EP>
204,65893078398096,org.apache.commons.cli.Option,clearValues,java.util.ArrayList,clear,<SP><EP>
205,65893078408326,org.apache.commons.cli.Parser,parse,java.util.Iterator,hasNext,<SP><EP>
206,65893078416751,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Parser,setOptions,<SP>Options:Options@1ac12253<EP>
207,65893078422141,org.apache.commons.cli.Parser,setOptions,org.apache.commons.cli.Options,getRequiredOptions,<SP><EP>
208,65893078434764,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Parser,getOptions,<SP><EP>
209,65893078449127,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Parser,flatten,"<SP>Options:Options@1ac12253<NP>String[]:[foobar, --bfile, toast]<NP>Boolean:false<EP>"
210,65893078456650,org.apache.commons.cli.GnuParser,flatten,java.lang.String,equals,<SP>String:foobar<EP>
211,65893078465456,org.apache.commons.cli.GnuParser,flatten,java.lang.String,equals,<SP>String:foobar<EP>
212,65893078472825,org.apache.commons.cli.GnuParser,flatten,java.lang.String,startsWith,<SP>String:-<EP>
213,65893078482307,org.apache.commons.cli.GnuParser,flatten,java.util.List,add,<SP>String:foobar<EP>
214,65893078490446,org.apache.commons.cli.GnuParser,flatten,java.lang.String,equals,<SP>String:--bfile<EP>
215,65893078497035,org.apache.commons.cli.GnuParser,flatten,java.lang.String,equals,<SP>String:--bfile<EP>
216,65893078503498,org.apache.commons.cli.GnuParser,flatten,java.lang.String,startsWith,<SP>String:-<EP>
217,65893078515779,org.apache.commons.cli.GnuParser,flatten,org.apache.commons.cli.Options,getOption,<SP>String:--bfile<EP>
218,65893078522057,org.apache.commons.cli.Options,getOption,org.apache.commons.cli.Util,stripLeadingHyphens,<SP>String:--bfile<EP>
219,65893078528378,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,startsWith,<SP>String:--<EP>
220,65893078537423,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,length,<SP><EP>
221,65893078549844,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,substring,<SP>Integer:2<NP>Integer:7<EP>
222,65893078561145,org.apache.commons.cli.Options,getOption,java.util.Map,containsKey,<SP>String:bfile<EP>
223,65893078569573,org.apache.commons.cli.Options,getOption,java.util.Map,get,<SP>String:bfile<EP>
224,65893078582607,org.apache.commons.cli.GnuParser,flatten,java.lang.String,substring,<SP>Integer:0<NP>Integer:2<EP>
225,65893078591852,org.apache.commons.cli.GnuParser,flatten,java.lang.String,substring,<SP>Integer:2<EP>
226,65893078599358,org.apache.commons.cli.GnuParser,flatten,java.util.List,add,<SP>String:--bfile<EP>
227,65893078607445,org.apache.commons.cli.GnuParser,flatten,java.lang.String,equals,<SP>String:toast<EP>
228,65893078618598,org.apache.commons.cli.GnuParser,flatten,java.lang.String,equals,<SP>String:toast<EP>
229,65893078627475,org.apache.commons.cli.GnuParser,flatten,java.lang.String,startsWith,<SP>String:-<EP>
230,65893078634781,org.apache.commons.cli.GnuParser,flatten,java.util.List,add,<SP>String:toast<EP>
231,65893078643166,org.apache.commons.cli.GnuParser,flatten,java.util.List,size,<SP><EP>
232,65893078653481,org.apache.commons.cli.GnuParser,flatten,java.util.List,toArray,"<SP>String[]:[null, null, null]<EP>"
233,65893078675069,org.apache.commons.cli.Parser,parse,java.util.Arrays,asList,"<SP>String[]:[foobar, --bfile, toast]<EP>"
234,65893078692202,org.apache.commons.cli.Parser,parse,java.util.List,listIterator,<SP><EP>
235,65893078705155,org.apache.commons.cli.Parser,parse,java.util.ListIterator,hasNext,<SP><EP>
236,65893078713521,org.apache.commons.cli.Parser,parse,java.util.ListIterator,next,<SP><EP>
237,65893078721613,org.apache.commons.cli.Parser,parse,java.lang.String,equals,<SP>String:foobar<EP>
238,65893078729439,org.apache.commons.cli.Parser,parse,java.lang.String,equals,<SP>String:foobar<EP>
239,65893078736544,org.apache.commons.cli.Parser,parse,java.lang.String,startsWith,<SP>String:-<EP>
240,65893078744126,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.CommandLine,addArg,<SP>String:foobar<EP>
241,65893078749386,org.apache.commons.cli.CommandLine,addArg,java.util.List,add,<SP>String:foobar<EP>
242,65893078759756,org.apache.commons.cli.Parser,parse,java.util.ListIterator,hasNext,<SP><EP>
243,65893078766191,org.apache.commons.cli.Parser,parse,java.util.ListIterator,next,<SP><EP>
244,65893078773605,org.apache.commons.cli.Parser,parse,java.lang.String,equals,<SP>String:--bfile<EP>
245,65893078781264,org.apache.commons.cli.Parser,parse,java.lang.String,equals,<SP>String:--bfile<EP>
246,65893078787764,org.apache.commons.cli.Parser,parse,java.lang.String,startsWith,<SP>String:-<EP>
247,65893078797848,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Parser,processOption,<SP>String:--bfile<NP>ListItr:ListItr@1e88664d<EP>
248,65893078803124,org.apache.commons.cli.Parser,processOption,org.apache.commons.cli.Parser,getOptions,<SP><EP>
249,65893078812391,org.apache.commons.cli.Parser,processOption,org.apache.commons.cli.Options,hasOption,<SP>String:--bfile<EP>
250,65893078820777,org.apache.commons.cli.Options,hasOption,org.apache.commons.cli.Util,stripLeadingHyphens,<SP>String:--bfile<EP>
251,65893078829245,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,startsWith,<SP>String:--<EP>
252,65893078842527,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,length,<SP><EP>
253,65893078863211,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,substring,<SP>Integer:2<NP>Integer:7<EP>
254,65893078882349,org.apache.commons.cli.Options,hasOption,java.util.Map,containsKey,<SP>String:bfile<EP>
255,65893078896876,org.apache.commons.cli.Options,hasOption,java.util.Map,containsKey,<SP>String:bfile<EP>
256,65893078914842,org.apache.commons.cli.Parser,processOption,org.apache.commons.cli.Parser,getOptions,<SP><EP>
257,65893078926521,org.apache.commons.cli.Parser,processOption,org.apache.commons.cli.Options,getOption,<SP>String:--bfile<EP>
258,65893078931747,org.apache.commons.cli.Options,getOption,org.apache.commons.cli.Util,stripLeadingHyphens,<SP>String:--bfile<EP>
259,65893078936552,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,startsWith,<SP>String:--<EP>
260,65893078944803,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,length,<SP><EP>
261,65893078961722,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,substring,<SP>Integer:2<NP>Integer:7<EP>
262,65893078981285,org.apache.commons.cli.Options,getOption,java.util.Map,containsKey,<SP>String:bfile<EP>
263,65893078993435,org.apache.commons.cli.Options,getOption,java.util.Map,get,<SP>String:bfile<EP>
264,65893079013173,org.apache.commons.cli.Parser,processOption,org.apache.commons.cli.Option,isRequired,<SP><EP>
265,65893079025260,org.apache.commons.cli.Parser,processOption,org.apache.commons.cli.Parser,getOptions,<SP><EP>
266,65893079039426,org.apache.commons.cli.Parser,processOption,org.apache.commons.cli.Options,getOptionGroup,<SP>Option:Option@469c42d6<EP>
267,65893079047336,org.apache.commons.cli.Options,getOptionGroup,org.apache.commons.cli.Option,getKey,<SP><EP>
268,65893079062379,org.apache.commons.cli.Options,getOptionGroup,java.util.Map,get,<SP>String:b<EP>
269,65893079078541,org.apache.commons.cli.Parser,processOption,org.apache.commons.cli.Option,hasArg,<SP><EP>
270,65893079096471,org.apache.commons.cli.Parser,processOption,org.apache.commons.cli.Parser,processArgs,<SP>Option:Option@469c42d6<NP>ListItr:ListItr@1e88664d<EP>
271,65893079105781,org.apache.commons.cli.Parser,processArgs,java.util.ListIterator,hasNext,<SP><EP>
272,65893079118044,org.apache.commons.cli.Parser,processArgs,java.util.ListIterator,next,<SP><EP>
273,65893079130268,org.apache.commons.cli.Parser,processArgs,org.apache.commons.cli.Parser,getOptions,<SP><EP>
274,65893079144148,org.apache.commons.cli.Parser,processArgs,org.apache.commons.cli.Options,hasOption,<SP>String:toast<EP>
275,65893079152139,org.apache.commons.cli.Options,hasOption,org.apache.commons.cli.Util,stripLeadingHyphens,<SP>String:toast<EP>
276,65893079160100,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,startsWith,<SP>String:--<EP>
277,65893079173018,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,startsWith,<SP>String:-<EP>
278,65893079189132,org.apache.commons.cli.Options,hasOption,java.util.Map,containsKey,<SP>String:toast<EP>
279,65893079201768,org.apache.commons.cli.Options,hasOption,java.util.Map,containsKey,<SP>String:toast<EP>
280,65893079218256,org.apache.commons.cli.Parser,processArgs,org.apache.commons.cli.Util,stripLeadingAndTrailingQuotes,<SP>String:toast<EP>
281,65893079228804,org.apache.commons.cli.Util,stripLeadingAndTrailingQuotes,java.lang.String,startsWith,"<SP>String:""<EP>"
282,65893079241366,org.apache.commons.cli.Util,stripLeadingAndTrailingQuotes,java.lang.String,endsWith,"<SP>String:""<EP>"
283,65893079252033,org.apache.commons.cli.Parser,processArgs,org.apache.commons.cli.Option,addValueForProcessing,<SP>String:toast<EP>
284,65893079257774,org.apache.commons.cli.Option,addValueForProcessing,org.apache.commons.cli.Option,processValue,<SP>String:toast<EP>
285,65893079263058,org.apache.commons.cli.Option,processValue,org.apache.commons.cli.Option,hasValueSeparator,<SP><EP>
286,65893079275214,org.apache.commons.cli.Option,processValue,org.apache.commons.cli.Option,add,<SP>String:toast<EP>
287,65893079281020,org.apache.commons.cli.Option,add,java.util.ArrayList,size,<SP><EP>
288,65893079290482,org.apache.commons.cli.Option,add,java.util.ArrayList,add,<SP>String:toast<EP>
289,65893079306382,org.apache.commons.cli.Parser,processArgs,java.util.ListIterator,hasNext,<SP><EP>
290,65893079314365,org.apache.commons.cli.Parser,processArgs,org.apache.commons.cli.Option,getValues,<SP><EP>
291,65893079320071,org.apache.commons.cli.Option,getValues,org.apache.commons.cli.Option,hasNoValues,<SP><EP>
292,65893079325546,org.apache.commons.cli.Option,hasNoValues,java.util.ArrayList,size,<SP><EP>
293,65893079343430,org.apache.commons.cli.Option,getValues,java.util.ArrayList,size,<SP><EP>
294,65893079359545,org.apache.commons.cli.Option,getValues,java.util.ArrayList,toArray,<SP>String[]:[null]<EP>
295,65893079375580,org.apache.commons.cli.Parser,processOption,org.apache.commons.cli.CommandLine,addOption,<SP>Option:Option@469c42d6<EP>
296,65893079383203,org.apache.commons.cli.CommandLine,addOption,java.util.Set,add,<SP>Option:Option@469c42d6<EP>
297,65893079390078,org.apache.commons.cli.Option,hashCode,java.lang.String,hashCode,<SP><EP>
298,65893079398725,org.apache.commons.cli.Option,hashCode,java.lang.String,hashCode,<SP><EP>
299,65893079416510,org.apache.commons.cli.Parser,parse,java.util.ListIterator,hasNext,<SP><EP>
300,65893079424857,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Parser,processProperties,<SP>object:null<EP>
301,65893079432064,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Parser,checkRequiredOptions,<SP><EP>
302,65893079437781,org.apache.commons.cli.Parser,checkRequiredOptions,org.apache.commons.cli.Parser,getRequiredOptions,<SP><EP>
303,65893079446210,org.apache.commons.cli.Parser,checkRequiredOptions,java.util.List,size,<SP><EP>
304,65893079516312,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,org.apache.commons.cli.CommandLine,hasOption,<SP>String:c<EP>
305,65893079540551,org.apache.commons.cli.CommandLine,hasOption,org.apache.commons.cli.CommandLine,resolveOption,<SP>String:c<EP>
306,65893079552690,org.apache.commons.cli.CommandLine,resolveOption,org.apache.commons.cli.Util,stripLeadingHyphens,<SP>String:c<EP>
307,65893079562254,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,startsWith,<SP>String:--<EP>
308,65893079577214,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,startsWith,<SP>String:-<EP>
309,65893079593120,org.apache.commons.cli.CommandLine,resolveOption,java.util.Set,iterator,<SP><EP>
310,65893079606511,org.apache.commons.cli.CommandLine,resolveOption,java.util.Iterator,hasNext,<SP><EP>
311,65893079616734,org.apache.commons.cli.CommandLine,resolveOption,java.util.Iterator,next,<SP><EP>
312,65893079624980,org.apache.commons.cli.CommandLine,resolveOption,org.apache.commons.cli.Option,getOpt,<SP><EP>
313,65893079632522,org.apache.commons.cli.CommandLine,resolveOption,java.lang.String,equals,<SP>String:b<EP>
314,65893079639511,org.apache.commons.cli.CommandLine,resolveOption,org.apache.commons.cli.Option,getLongOpt,<SP><EP>
315,65893079647204,org.apache.commons.cli.CommandLine,resolveOption,java.lang.String,equals,<SP>String:bfile<EP>
316,65893079653753,org.apache.commons.cli.CommandLine,resolveOption,java.util.Iterator,hasNext,<SP><EP>
317,65893079669076,org.apache.commons.cli.CommandLine,hasOption,java.util.Set,contains,<SP>object:null<EP>
318,65893079752681,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,org.apache.commons.cli.CommandLine,hasOption,<SP>String:b<EP>
319,65893079767396,org.apache.commons.cli.CommandLine,hasOption,org.apache.commons.cli.CommandLine,resolveOption,<SP>String:b<EP>
320,65893079772877,org.apache.commons.cli.CommandLine,resolveOption,org.apache.commons.cli.Util,stripLeadingHyphens,<SP>String:b<EP>
321,65893079778140,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,startsWith,<SP>String:--<EP>
322,65893079786620,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,startsWith,<SP>String:-<EP>
323,65893079796330,org.apache.commons.cli.CommandLine,resolveOption,java.util.Set,iterator,<SP><EP>
324,65893079806474,org.apache.commons.cli.CommandLine,resolveOption,java.util.Iterator,hasNext,<SP><EP>
325,65893079814952,org.apache.commons.cli.CommandLine,resolveOption,java.util.Iterator,next,<SP><EP>
326,65893079827191,org.apache.commons.cli.CommandLine,resolveOption,org.apache.commons.cli.Option,getOpt,<SP><EP>
327,65893079848089,org.apache.commons.cli.CommandLine,resolveOption,java.lang.String,equals,<SP>String:b<EP>
328,65893079866804,org.apache.commons.cli.CommandLine,hasOption,java.util.Set,contains,<SP>Option:Option@469c42d6<EP>
329,65893079874728,org.apache.commons.cli.Option,hashCode,java.lang.String,hashCode,<SP><EP>
330,65893079890118,org.apache.commons.cli.Option,hashCode,java.lang.String,hashCode,<SP><EP>
331,65893079972649,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,org.apache.commons.cli.CommandLine,getOptionValue,<SP>String:b<EP>
332,65893079988516,org.apache.commons.cli.CommandLine,getOptionValue,org.apache.commons.cli.CommandLine,getOptionValues,<SP>String:b<EP>
333,65893079999007,org.apache.commons.cli.CommandLine,getOptionValues,org.apache.commons.cli.CommandLine,resolveOption,<SP>String:b<EP>
334,65893080004323,org.apache.commons.cli.CommandLine,resolveOption,org.apache.commons.cli.Util,stripLeadingHyphens,<SP>String:b<EP>
335,65893080009447,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,startsWith,<SP>String:--<EP>
336,65893080018253,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,startsWith,<SP>String:-<EP>
337,65893080028021,org.apache.commons.cli.CommandLine,resolveOption,java.util.Set,iterator,<SP><EP>
338,65893080037895,org.apache.commons.cli.CommandLine,resolveOption,java.util.Iterator,hasNext,<SP><EP>
339,65893080044500,org.apache.commons.cli.CommandLine,resolveOption,java.util.Iterator,next,<SP><EP>
340,65893080051846,org.apache.commons.cli.CommandLine,resolveOption,org.apache.commons.cli.Option,getOpt,<SP><EP>
341,65893080058726,org.apache.commons.cli.CommandLine,resolveOption,java.lang.String,equals,<SP>String:b<EP>
342,65893080071447,org.apache.commons.cli.CommandLine,getOptionValues,java.util.Set,contains,<SP>Option:Option@469c42d6<EP>
343,65893080076017,org.apache.commons.cli.Option,hashCode,java.lang.String,hashCode,<SP><EP>
344,65893080085387,org.apache.commons.cli.Option,hashCode,java.lang.String,hashCode,<SP><EP>
345,65893080100382,org.apache.commons.cli.CommandLine,getOptionValues,org.apache.commons.cli.Option,getValues,<SP><EP>
346,65893080105039,org.apache.commons.cli.Option,getValues,org.apache.commons.cli.Option,hasNoValues,<SP><EP>
347,65893080108992,org.apache.commons.cli.Option,hasNoValues,java.util.ArrayList,size,<SP><EP>
348,65893080119166,org.apache.commons.cli.Option,getValues,java.util.ArrayList,size,<SP><EP>
349,65893080127820,org.apache.commons.cli.Option,getValues,java.util.ArrayList,toArray,<SP>String[]:[null]<EP>
350,65893080169218,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,java.lang.String,equals,<SP>String:toast<EP>
351,65893080271438,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,java.lang.StringBuilder,append,<SP>String:Confirm  1 extra arg: <EP>
352,65893080301806,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,org.apache.commons.cli.CommandLine,getArgList,<SP><EP>
353,65893080336739,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,java.util.List,size,<SP><EP>
354,65893080368693,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,java.lang.StringBuilder,append,<SP>Integer:1<EP>
355,65893080396262,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,java.lang.StringBuilder,toString,<SP><EP>
356,65893080419272,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,org.apache.commons.cli.CommandLine,getArgList,<SP><EP>
357,65893080443627,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,java.util.List,size,<SP><EP>
358,65893080542196,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,java.lang.StringBuilder,append,<SP>String:Confirm  value of extra arg: <EP>
359,65893080571286,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,org.apache.commons.cli.CommandLine,getArgList,<SP><EP>
360,65893080598033,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,java.util.List,get,<SP>Integer:0<EP>
361,65893080645123,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,java.lang.StringBuilder,append,<SP>String:foobar<EP>
362,65893080675057,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,java.lang.StringBuilder,toString,<SP><EP>
363,65893080698107,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,org.apache.commons.cli.CommandLine,getArgList,<SP><EP>
364,65893080723681,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,java.util.List,get,<SP>Integer:0<EP>
365,65893080751632,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,java.lang.Object,equals,<SP>String:foobar<EP>
